Module Name,Test Case Name
/Real Appeal/Member/Enrollment/Custom Enrollment,RA_Member_CustomEnrollment_MemberEnrollmentUnderClientWithSingleInsuranceCarrierAndSinglePolicy
/Real Appeal/Member/Enrollment/PHI Data Consent,RA_Member_PHIDataConsent_OldMembersAcceptingAndDecliningPHIDataConsentUpOnLoginForClient
/Real Appeal/Member/Idle_Member,RA_Member_IdleMember_EmailNotificationMemberFromIdleStatusAndCoachAfterMovedToNewClass
/Real Appeal/Member/Idle_Member,RA_Member_IdleMember_ResetSecurityQ&ANotification
/Real Appeal/Member/Login,RA_Member_Login_MemberForgotPasswordEmailValid
/Real Appeal/Member/Login,RA_Member_Login_MemberForgotPasswordValidandInvalidEmail
/Real Appeal/Member/Login,RA_Member_Login_MemberLoginFromForgetPasswordDialogAndEnrollment
/Real Appeal/Member/Message Center,RA_Member_MessageCenter_RecepientNameOnReplyingMessageToCoach
/Real Appeal/Member/Notification/Email,RA_Member_Notification_Email_ChangedPasswordMailTriggerToMemberWithDeclinedStatus
/Real Appeal/Member/Tracker/Trackers_MyPlan,RA_Member_Tracker_MyPlan_ModifyTheTargetDate
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberAlertMessageWhenTheMemberOptOutTheEmailContact
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberFieldsMessagesDisplayedInTheCredentialsSection
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberFieldsMessagesDisplayedInThePreferencesSection
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberFieldsMessagesDisplayedInThePrimaryHealthInformationSection
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberModifyContactInformation
/Real Appeal/Member/Content_Library,RA_Member_Content_Library_MemberNavigatingToTheSessionContentTab
/Real Appeal/Member/Content_Library,RA_Member_Content_Library_MemberSelectingTheValueFromTheFilter
/Real Appeal/Member/Dashboard,RA_Member_Dashboard _ClassroomNotStartedMember
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_ClassroomNotAllocatedMember
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_ClassroomStartedMembers
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberAddDataToCurrentDaysData
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberCalorieBreakdown
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberInitialGoal
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberOnlyGroupSessionIsDisplayedFirstInTheUpNextWidget
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberThreeDayStreak
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberWidgets
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_UnapprovedClassMembers
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_UnScheduledClassMembers
/Real Appeal/Member/Enrollment/Custom Enrollment,RA_Member_CustomEnrollment_MemberChangingInsuranceInfoViaProfile
/Real Appeal/Member/Enrollment/Custom Enrollment,RA_Member_CustomEnrollment_MemberEnrollmentToAClientWithSingleInsuranceCarrierAndMultiplePoliciesCarrierDisplayed
/Real Appeal/Member/Enrollment/Custom Enrollment,RA_Member_CustomEnrollment_ProviderViewsMemberProfileInsuranceDetails
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_EditMemberProfileUsingOwnInsuranceDataWhenAllowMultipleEnrollmentTrue
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_EditMemberProfileUsingTheBrandNewInsuranceDataWhenAllowMultipleEnrollmentTrue
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_EditTheActivatedMemberProfileUsingTheBrandNewInsuranceDataWhenAllowMultipleEnrollmentTrue
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_EditTheActivatedMemberProfileUsingTheHisHerOwnInsuranceDataWhenAllowMultipleEnrollmentTrue
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_MemberCharacterLimitsForTheFirstNameAndLastNameFields
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_MemberEmailAddressMaximumCharacterLength
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_MemberEnrollment
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_MemberIsAbleToContinueTheEnrollmentPartFromWhereHeSheLeft
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_MemberLinkToDisplayTheInsuranceProviderNames
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_MemberOrderYourSuccessKitTabCharacterLimitForTheMemberInputFields
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_MemberWarningMessageIfTheMemberSelectsIDisagreeOptionAvailableUnderTheEmailField
/Real Appeal/Member/Enrollment/Enrollment,RA_Member_Enrollment_ProvidersReadOnlyViewOfMemberInsuranceDetails
/Real Appeal/Member/Enrollment/PHI Data Consent,RA_Member_PHIDataConsent_MemberAcceptsToSharingPHIData
/Real Appeal/Member/Enrollment/PHI Data Consent,RA_Member_PHIDataConsent_MemberEnrollmentToClientWhoEnabledPHIConsentFromDayOneToViewThePHIConsentForm
/Real Appeal/Member/Enrollment/PHI Data Consent,RA_Member_PHIDataConsent_PHIDataConsentSectionsUnavailableForCoaches
/Real Appeal/Member/Enrollment/PHI Data Consent,RA_Member_PHIDataConsent_Provider'sViewOfMemberProfileForAMemberWhoAcceptedToSharePHIDataDuringEnrollment
/Real Appeal/Member/Idle_Member,RA_Member_IdleMember_AlertMessageUponLoginAndPswdRestLogin
/Real Appeal/Member/Idle_Member,RA_Member_IdleMember_FirstEmailNotificationPart1
/Real Appeal/Member/Idle_Member,RA_Member_IdleMember_SecondEmailNotificationPart1
/Real Appeal/Member/Idle_Member,RA_Member_IdleMember_TurnOFFConfigurationForIdleMembersAtProgramLevel
/Real Appeal/Member/Idle_Member,RA_Member_IdleMember_TurnONConfigurationForIdleMembersAtProgramLevel
/Real Appeal/Member/Login,RA_Member_Login_MemberLoginWithInvalidCredentials
/Real Appeal/Member/Login,RA_Member_Login_MemberLoginWithValidCredentials
/Real Appeal/Member/Message Center,RA_Member_MessageCenter_EmailSubjectAndContentCharacterLimit
/Real Appeal/Member/Message Center,RA_Member_MessageCenter_MDACDateSortOrder
/Real Appeal/Member/Message Center,RA_Member_MessageCenter_PASendersProfilePicProviderInMemberDetailScreen
/Real Appeal/Member/Message Center,RA_Member_MessageCenter_ProgramAdminAndMemberIsAbleToOnlyReplyToTheMessages
/Real Appeal/Member/Message Center,RA_Member_MessageCenter_RecepientNameOnReplyingMessageToPA
/Real Appeal/Member/Message Center,RA_Member_MessageCenter_ReplyAllFeatureIsNotAvailableWhileReplyingToEmail
/Real Appeal/Member/Notification/Email,RA_Member_Notification_Email _ScheduleAndRescheduleCustomizationSession_Part_1
/Real Appeal/Member/PasswordPolicy,RA_Member_PasswordPolicy_AvailbilityOfPasswordPolicyLinkInLoginPopup
/Real Appeal/Member/PasswordPolicy,RA_Member_PasswordPolicy_DisplayQuestionSectionInTheAccountSettings
/Real Appeal/Member/PasswordPolicy,RA_Member_PasswordPolicy_MessageAppearsWhenMemberEntersWrongPassword
/Real Appeal/Member/PasswordPolicy,RA_Member_PasswordPolicy_SecurityAnswerVerificationWithSpecialCharactersOnHFOpsPortal
/Real Appeal/Member/Profile,RA_Member_Profile_MemberIsAbleToViewTheNextUpcomingGroupSessionDetails
/Real Appeal/Member/Profile,RA_Member_Profile_MemberLikesPanelEditable
/Real Appeal/Member/Profile,RA_Member_Profile_MemberViewRegisterYourFitnessDeviceInMemberProfilePage
/Real Appeal/Member/Profile,RA_Member_Profile_MemberYourPlanPanelUpdatedAsModified
/Real Appeal/Member/ProgramClosure,RA_Member_ProgramClosure_MemberContentLibrary
/Real Appeal/Member/ProgramClosure,RA_Member_ProgramClosure_MemberPortalPrivacyPolicyAndTermsOfUse
/Real Appeal/Member/ProgramClosure,RA_Member_ProgramClouser_MemberLoginAndDashboardMessageUponProgramCompletion
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_Member ExerciseExerciseGetsAddedUnderTheFavoritesSection
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_MemberExerciseAddCustomExercise
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_MemberExerciseCustomExerciseInTheFavoritesSection
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_MemberExerciseCustomExerciseIsAddedToTheListOfExerciseInADayUsingTheSameAsYesterdayFeature
/Real Appeal/Member/Tracker/Trackers_Exercise,RA_Member_TrackersExercise_MemberExerciseModifyingTheActivityLevel
/Real Appeal/Member/Tracker/Trackers_Food,RA_Member_TrackerFood_MemberFoodCreatingARecipe
/Real Appeal/Member/Tracker/Trackers_Food,RA_Member_TrackerFood_MemberFoodNavigatingToTheFoodTab
/Real Appeal/Member/Tracker/Trackers_Food,RA_Member_TrackerFood_MemberFoodSearch
/Real Appeal/Member/Tracker/Trackers_Measurements,RA_Member_Tracker_MemberMeasurementsNavigatingToTheMeasurementTab
/Real Appeal/Member/Tracker/Trackers_MyPlan,RA_Member_Tracker_MyPlan_ModifyTheAvgDailyExerciseCalAlertMessages
/Real Appeal/Member/Tracker/Trackers_MyPlan,RA_Member_Tracker_MyPlan_ModifyTheWeeklyRate
